Wall time,Step,Value
1493071728.117319,41409,1.0
1493071731.826719,41491,1.0
1493071734.134783,41539,1.0
1493071734.901767,41555,1.0
1493071737.338243,41609,1.0
1493071744.766035,41772,1.0
1493071745.144307,41780,1.0
1493071748.104847,41844,1.0
1493071749.307165,41871,1.0
1493071759.883022,42006,1.0
1493071760.20673,42013,1.0
1493071761.063297,42031,0.9921875
1493071765.983014,42134,1.0
1493071767.229765,42158,1.0
1493071767.686593,42168,1.0
1493071768.465772,42182,1.0
1493071771.487046,42244,1.0
1493071776.057225,42339,1.0
1493071781.45057,42450,0.9921875
1493071782.326062,42468,1.0
1493071782.767381,42478,1.0
1493071783.742566,42499,1.0
1493071789.035227,42608,1.0
1493071792.187391,42678,1.0
1493071796.783107,42776,0.9921875
1493071803.98954,42931,1.0
1493071805.470415,42964,1.0
1493071806.2803,42981,1.0
1493071812.582884,43020,1.0
1493071824.002508,43278,1.0
1493071832.782216,43474,1.0
1493071834.715303,43518,1.0
1493071836.266794,43553,1.0
1493071837.575833,43583,1.0
1493071838.63379,43607,1.0
1493071840.114312,43639,1.0
1493071843.42664,43711,1.0
1493071844.676915,43738,1.0
1493071844.843855,43742,1.0
1493071845.580888,43757,1.0
1493071846.796965,43783,1.0
1493071847.804366,43805,1.0
1493071855.394749,43976,1.0
1493071855.572779,43980,1.0
1493071856.160623,43993,1.0
1493071863.800556,44073,1.0
1493071863.978809,44077,1.0
1493071865.610545,44113,1.0
1493071869.519285,44200,1.0
1493071869.828261,44207,1.0
1493071871.809742,44251,1.0
1493071874.213156,44304,1.0
1493071875.971666,44343,1.0
1493071878.741802,44404,1.0
1493071883.100925,44501,1.0
1493071884.82047,44539,1.0
1493071886.900179,44585,1.0
1493071886.950137,44586,1.0
1493071889.625494,44645,1.0
1493071893.424012,44729,1.0
1493071894.495024,44753,1.0
1493071896.737054,44802,1.0
1493071897.39108,44816,1.0
1493071904.210018,44964,1.0
1493071905.641171,44994,1.0
1493071912.242172,45053,1.0
1493071914.533945,45104,1.0
1493071923.64398,45310,1.0
1493071924.044454,45319,1.0
1493071926.388629,45372,1.0
1493071932.420919,45507,1.0
1493071934.024424,45543,1.0
1493071938.629185,45646,1.0
1493071939.162159,45658,1.0
1493071944.144326,45771,1.0
1493071947.161872,45839,1.0
1493071948.72482,45874,1.0
1493071959.253476,46024,1.0
1493071959.636824,46033,1.0
1493071960.804413,46060,1.0
1493071962.127817,46090,1.0
1493071963.592229,46124,1.0
1493071965.531344,46169,1.0
1493071965.885169,46177,1.0
1493071967.091883,46205,1.0
1493071971.9984,46318,1.0
1493071972.673399,46334,1.0
1493071975.369913,46396,1.0
1493071976.115624,46413,1.0
1493071979.852747,46499,1.0
